3000000,29491
3000001,29491
3000002,29491
3000003,29491
3000004,29491
3000005,29491
3000006,66364
3000007,46875
3000008,46875
3000009,29808
3000010,29808
3000011,29808
3000012,29808
3000013,29808
3000014,29808
3000015,29808
3000016,29808
3000017,29808
3000018,29808
3000019,29808
3000020,29808
3000021,29808
3000022,29808
3000023,29808
3000024,29808
3000025,29808
3000026,29808
3000027,29808
3000028,29808
3000029,29808
3000030,29808
3000031,29808
3000032,29491
3000033,29491
3000034,29491
3000035,29491
3000036,29491
3000037,29491
3000038,29491
3000039,29491
3000040,29491
3000041,66364
3000042,66364
3000043,66364
3000044,46875
3000045,46875
3000046,46875
3000047,29808
3000048,29808
3000049,29808
3000050,29808
3000051,29808
3000052,29808
3000053,29808
3000054,29808
3000055,29808
3000056,29808
3000057,29808
3000058,29808
3000059,29808
3000060,29808
3000061,29808
3000062,29808
3000063,29808
3000064,29808
3000065,29808
3000066,29808
3000067,29808
3000068,29808
3000069,29808
3000070,29808
3000071,29491
3000072,29491
3000073,29491
3000074,29491
3000075,29491
3000076,29491
3000077,29491
3000078,29491
3000079,29491
3000080,66364
3000081,66364
3000082,66364
3000083,66364
3000084,66364
3000085,46875
3000086,46875
3000087,46875
3000088,46875
3000089,46875
3000090,29808
3000091,29808
3000092,26369
3000093,29808
3000094,29808
3000095,29808
3000096,29808
3000097,29808
3000098,29808
3000099,29808
3000100,29808
3000101,29808
3000102,29808
3000103,29808
3000104,29808
3000105,29808
3000106,29808
3000107,29808
3000108,29808
3000109,29808
3000110,29808
3000111,29808
3000112,29808
3000113,29808
3000114,29491
3000115,31891
3000116,31891
3000117,31891
3000118,31891
3000119,31891
3000120,31891
3000121,31891
3000122,31891
3000123,66364
3000124,66364
3000125,66364
3000126,66364
3000127,66364
3000128,66364
3000129,46875
3000130,46875
3000131,46875
3000132,46875
3000133,46875
3000134,46875
3000135,46875
3000136,26369
3000137,26369
3000138,29808
3000139,29808
3000140,29808
3000141,29808
3000142,29808
3000143,29808
3000144,29808
3000145,29808
3000146,29808
3000147,29808
3000148,29808
3000149,29808
3000150,29808
3000151,29808
3000152,29808
3000153,29808
3000154,29808
3000155,29808
3000156,29808
3000157,29808
3000158,29808
3000159,29491
